[2025-12-09 10:02:19.833] [ml-detector] [info] [DUAL-SCORE] event=12338660178072_547895546, fast=0.0000, ml=0.0716, final=0.0716, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0716
[2025-12-09 10:02:19.834] [ml-detector] [info] [DUAL-SCORE] event=12338758858712_547895546, fast=0.0000, ml=0.0716, final=0.0716, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0716
[2025-12-09 10:02:19.835] [ml-detector] [info] [DUAL-SCORE] event=12340672314029_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:19.837] [ml-detector] [info] [DUAL-SCORE] event=12340672690835_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:26.311] [ml-detector] [info] [DUAL-SCORE] event=12341547073781_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:02:26.314] [ml-detector] [info] [DUAL-SCORE] event=12345685431968_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:26.315] [ml-detector] [info] [DUAL-SCORE] event=12345685565721_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:26.316] [ml-detector] [info] [DUAL-SCORE] event=12347144655264_547895546, fast=0.0000, ml=0.0716, final=0.0716, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0716
[2025-12-09 10:02:37.276] [ml-detector] [info] [DUAL-SCORE] event=ransomware-features-1765274557268447817, fast=0.7000, ml=0.1454, final=0.7000, source=DETECTOR_SOURCE_DIVERGENCE, div=0.5546
[2025-12-09 10:02:39.887] [ml-detector] [info] [DUAL-SCORE] event=12350699539412_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:39.890] [ml-detector] [info] [DUAL-SCORE] event=12350700051508_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:39.892] [ml-detector] [info] [DUAL-SCORE] event=12355713007353_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:39.894] [ml-detector] [info] [DUAL-SCORE] event=12360725799605_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:54.927] [ml-detector] [info] [DUAL-SCORE] event=12365737955008_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:54.928] [ml-detector] [info] [DUAL-SCORE] event=12370751266521_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:54.928] [ml-detector] [info] [DUAL-SCORE] event=12371547835637_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:02:54.929] [ml-detector] [info] [DUAL-SCORE] event=12375764595489_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:04.956] [ml-detector] [info] [DUAL-SCORE] event=12375764814595_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:04.957] [ml-detector] [info] [DUAL-SCORE] event=12380777482352_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:04.958] [ml-detector] [info] [DUAL-SCORE] event=12380777732048_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:04.961] [ml-detector] [info] [DUAL-SCORE] event=12385790733553_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:07.272] [ml-detector] [info] [DUAL-SCORE] event=ransomware-features-1765274587269554625, fast=0.7000, ml=0.1454, final=0.7000, source=DETECTOR_SOURCE_DIVERGENCE, div=0.5546
[2025-12-09 10:03:14.984] [ml-detector] [info] [DUAL-SCORE] event=12385790965664_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:14.985] [ml-detector] [info] [DUAL-SCORE] event=12390803805735_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:14.987] [ml-detector] [info] [DUAL-SCORE] event=12390803920726_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:14.989] [ml-detector] [info] [DUAL-SCORE] event=12395817117800_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:30.019] [ml-detector] [info] [DUAL-SCORE] event=12400830207793_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:03:30.020] [ml-detector] [info] [DUAL-SCORE] event=12401549240543_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:03:30.023] [ml-detector] [info] [DUAL-SCORE] event=12405843179936_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
