timestamp,sniffer_cpu,sniffer_mem_mb,detector_cpu,detector_mem_mb,system_cpu,system_mem_pct
2025-10-26 09:13:12,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:13:17,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:13:22,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:13:28,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:13:33,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:13:38,0.0,4.5625,6.5,139.281,33.3,7.3
2025-10-26 09:13:44,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:13:49,0.0,4.5625,6.5,139.281,50.0,7.2
2025-10-26 09:13:54,0.0,4.5625,6.5,139.281,33.3,7.2
2025-10-26 09:13:59,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:14:05,0.0,4.5625,6.5,139.281,33.3,7.3
2025-10-26 09:14:10,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:14:15,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:14:20,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:14:26,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:14:31,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:14:36,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:14:41,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:14:47,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:14:52,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:14:57,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:15:03,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:15:08,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:15:13,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:15:18,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:15:24,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:15:29,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:15:34,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:15:39,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:15:45,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:15:50,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:15:55,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:16:00,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:16:06,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:16:11,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:16:16,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:16:21,0.0,4.5625,6.6,139.281,33.3,7.3
2025-10-26 09:16:27,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:16:32,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:16:37,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:16:42,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:16:48,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:16:53,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:16:58,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:17:03,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:17:09,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:17:14,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:17:19,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:17:25,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:17:30,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:17:35,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:17:40,0.0,4.5625,6.6,139.281,33.3,7.4
2025-10-26 09:17:46,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:17:51,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:17:57,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:18:02,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:18:07,0.0,4.5625,6.6,139.281,25.0,7.3
2025-10-26 09:18:12,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:18:18,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:18:23,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:18:28,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:18:33,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:18:39,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:18:44,0.0,4.5625,6.6,139.281,33.3,7.3
2025-10-26 09:18:49,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:18:55,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:19:00,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:19:05,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:19:10,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:19:16,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:19:21,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:19:26,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:19:31,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:19:37,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:19:42,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:19:47,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:19:53,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:19:58,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:20:03,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:20:08,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:20:14,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:20:19,0.0,4.5625,6.6,139.281,0.0,7.5
2025-10-26 09:20:24,0.0,4.5625,6.6,139.281,33.3,7.3
2025-10-26 09:20:30,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:20:35,0.0,4.5625,6.6,139.281,50.0,7.3
2025-10-26 09:20:40,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:20:45,0.0,4.5625,6.6,139.281,33.3,7.3
2025-10-26 09:20:51,0.0,4.5625,6.6,139.281,55.6,7.5
2025-10-26 09:20:56,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:21:01,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:21:07,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:21:12,0.0,4.5625,6.6,139.281,33.3,7.4
2025-10-26 09:21:17,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:21:22,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:21:28,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:21:33,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:21:38,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:21:44,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:21:49,0.0,4.5625,6.6,139.281,50.0,7.3
2025-10-26 09:21:54,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:21:59,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:22:05,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:22:10,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:22:15,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:22:20,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:22:26,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:22:31,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:22:36,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:22:41,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:22:47,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:22:52,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:22:57,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:23:02,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:23:08,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:23:13,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:23:18,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:23:24,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:23:29,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:23:34,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:23:39,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:23:45,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:23:50,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:23:55,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:24:00,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:24:06,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:24:11,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:24:16,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:24:22,0.0,4.5625,6.6,139.281,0.0,7.4
